pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory
35000014,1528095725.522433,e,tcp,192.168.100.148,40219.0,192.168.100.3,80.0,4,428,RST,1528095735.055585,143542,9.533152,0.111855,0.111855,,,0.223709,0.0,0.223709,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000015,1528095725.522434,e,tcp,192.168.100.148,40222.0,192.168.100.3,80.0,4,428,RST,1528095735.055586,143543,9.533152,0.111855,0.111855,,,0.223709,0.0,0.223709,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000016,1528095725.522436,e,tcp,192.168.100.148,40223.0,192.168.100.3,80.0,4,428,RST,1528095735.055587,143544,9.533151,0.111854,0.111854,,,0.223708,0.0,0.223708,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000017,1528095725.522437,e,tcp,192.168.100.148,40224.0,192.168.100.3,80.0,4,428,RST,1528095735.055587,143545,9.53315,0.111854,0.111854,,,0.223708,0.0,0.223708,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000018,1528095725.522438,e,tcp,192.168.100.148,40225.0,192.168.100.3,80.0,4,428,RST,1528095735.055589,143546,9.533151,0.111854,0.111854,,,0.223707,0.0,0.223707,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000019,1528095725.52244,e,tcp,192.168.100.148,40228.0,192.168.100.3,80.0,4,428,RST,1528095735.055589,143547,9.533149,0.111853,0.111853,,,0.223706,0.0,0.223706,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000020,1528095725.522441,e,tcp,192.168.100.148,40229.0,192.168.100.3,80.0,4,428,RST,1528095735.05559,143548,9.533149,0.111853,0.111853,,,0.223706,0.0,0.223706,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000021,1528095725.522442,e,tcp,192.168.100.148,40234.0,192.168.100.3,80.0,4,428,RST,1528095735.05562,143549,9.533178,0.111853,0.111853,,,0.223706,0.0,0.223706,,,,,3,1,368,60,0.31469,0.209794,0.0,1,DDoS,TCP
35000022,1528095725.522444,e,tcp,192.168.100.148,40235.0,192.168.100.3,80.0,4,428,RST,1528095735.05562,143550,9.533176,0.111852,0.111852,,,0.223704,0.0,0.223704,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000023,1528095725.522445,e,tcp,192.168.100.148,40238.0,192.168.100.3,80.0,4,428,RST,1528095735.055621,143551,9.533176,0.111852,0.111852,,,0.223704,0.0,0.223704,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000024,1528095725.522447,e,tcp,192.168.100.148,40239.0,192.168.100.3,80.0,4,428,RST,1528095735.055622,143552,9.533175,0.111851,0.111851,,,0.223702,0.0,0.223702,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000025,1528095725.522448,e,tcp,192.168.100.148,40240.0,192.168.100.3,80.0,4,428,RST,1528095735.055623,143553,9.533175,0.111851,0.111851,,,0.223702,0.0,0.223702,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000026,1528095725.522449,e,tcp,192.168.100.148,40241.0,192.168.100.3,80.0,4,428,RST,1528095735.055624,143554,9.533175,0.111851,0.111851,,,0.223702,0.0,0.223702,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000027,1528095725.52245,e,tcp,192.168.100.148,40244.0,192.168.100.3,80.0,4,428,RST,1528095735.055625,143555,9.533175,0.111851,0.111851,,,0.223702,0.0,0.223702,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000028,1528095725.522452,e,tcp,192.168.100.148,40245.0,192.168.100.3,80.0,4,428,RST,1528095735.055626,143556,9.533174,0.11185,0.11185,,,0.2237,0.0,0.2237,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000029,1528095725.522453,e,tcp,192.168.100.148,40250.0,192.168.100.3,80.0,4,428,RST,1528095735.055628,143557,9.533175,0.11185,0.11185,,,0.2237,0.0,0.2237,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000030,1528095725.522454,e,tcp,192.168.100.148,40251.0,192.168.100.3,80.0,4,428,RST,1528095735.055629,143558,9.533175,0.11185,0.11185,,,0.2237,0.0,0.2237,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000031,1528095725.522455,e,tcp,192.168.100.148,40254.0,192.168.100.3,80.0,4,428,RST,1528095735.055629,143559,9.533174,0.11185,0.11185,,,0.223699,0.0,0.223699,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000032,1528095725.522456,e,tcp,192.168.100.148,40255.0,192.168.100.3,80.0,4,428,RST,1528095735.05563,143560,9.533174,0.11185,0.11185,,,0.223699,0.0,0.223699,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000033,1528095725.522457,e,tcp,192.168.100.148,40256.0,192.168.100.3,80.0,4,428,RST,1528095735.055631,143561,9.533174,0.11185,0.11185,,,0.223699,0.0,0.223699,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000034,1528095725.522459,e,tcp,192.168.100.148,40257.0,192.168.100.3,80.0,4,428,RST,1528095735.055632,143562,9.533173,0.111849,0.111849,,,0.223698,0.0,0.223698,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000035,1528095725.52246,e,tcp,192.168.100.148,40260.0,192.168.100.3,80.0,4,428,RST,1528095735.055632,143563,9.533172,0.111849,0.111849,,,0.223698,0.0,0.223698,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000036,1528095725.522461,e,tcp,192.168.100.148,40261.0,192.168.100.3,80.0,4,428,RST,1528095735.055633,143564,9.533172,0.111849,0.111849,,,0.223697,0.0,0.223697,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000037,1528095725.522462,e,tcp,192.168.100.148,40266.0,192.168.100.3,80.0,4,428,RST,1528095735.055634,143565,9.533172,0.111849,0.111849,,,0.223697,0.0,0.223697,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000038,1528095725.522463,e,tcp,192.168.100.148,40267.0,192.168.100.3,80.0,4,428,RST,1528095735.055635,143566,9.533172,0.111849,0.111849,,,0.223697,0.0,0.223697,,,,,3,1,368,60,0.314691,0.209794,0.0,1,DDoS,TCP
35000039,1528095725.522464,e s,tcp,192.168.100.148,40270.0,192.168.100.3,80.0,2,308,REQ,1528095735.055635,143567,9.533171,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
39053809,1528096171.650803,e,udp,192.168.100.46,80.0,192.168.100.5,80.0,565,541709,INT,1528096201.526685,2800,29.875881,4.940613,0.08303,,,29.643681,4.76103,4.997681,,,,,565,0,541709,0,18.878105,18.878105,0.0,0,Normal,Normal
39053867,1528096171.650895,e,tcp,192.168.100.46,80.0,192.168.100.5,80.0,566,536151,CON,1528096201.526756,2858,29.87586,4.940622,0.083058,,,29.64373,4.76103,4.997733,,,,,566,0,536151,0,18.911589,18.911589,0.0,0,Normal,Normal
39053868,1528096171.650897,e,tcp,192.168.100.5,0.0,192.168.100.3,0.0,336,231663,CON,1528096201.526759,2859,29.875862,4.862422,0.152089,,,29.17453,4.590962,4.997733,,,,,336,0,231663,0,11.213065,11.213065,0.0,0,Normal,Normal
39053869,1528096171.650899,e,udp,192.168.100.7,365.0,192.168.100.3,565.0,311,18660,INT,1528096201.515025,2860,29.864126,4.887814,0.144625,,,29.326881,4.579227,4.988251,,,,,311,0,18660,0,10.380347,10.380347,0.0,0,Normal,Normal
35000040,1528095725.522465,e s,tcp,192.168.100.148,40271.0,192.168.100.3,80.0,2,308,REQ,1528095735.055636,143568,9.533171,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
35000041,1528095725.522467,e s,tcp,192.168.100.148,40272.0,192.168.100.3,80.0,2,308,REQ,1528095735.055637,143569,9.53317,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
35000042,1528095725.522468,e s,tcp,192.168.100.148,40273.0,192.168.100.3,80.0,2,308,REQ,1528095735.055638,143570,9.53317,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
35000043,1528095725.522469,e s,tcp,192.168.100.148,40276.0,192.168.100.3,80.0,2,308,REQ,1528095735.055638,143571,9.533169,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
35000044,1528095725.522471,e s,tcp,192.168.100.148,40277.0,192.168.100.3,80.0,2,308,REQ,1528095735.055639,143572,9.533168,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
35000045,1528095725.522472,e s,tcp,192.168.100.148,40282.0,192.168.100.3,80.0,2,308,REQ,1528095735.05564,143573,9.533168,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
35000046,1528095725.522473,e s,tcp,192.168.100.148,40283.0,192.168.100.3,80.0,2,308,REQ,1528095735.055642,143574,9.533169,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
35000047,1528095725.522474,e s,tcp,192.168.100.148,40286.0,192.168.100.3,80.0,2,308,REQ,1528095735.055643,143575,9.533169,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
35000048,1528095725.522475,e s,tcp,192.168.100.148,40287.0,192.168.100.3,80.0,2,308,REQ,1528095735.055644,143576,9.533169,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
35000049,1528095725.522476,e s,tcp,192.168.100.148,40288.0,192.168.100.3,80.0,2,308,REQ,1528095735.055645,143577,9.533169,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
35000050,1528095725.522477,e s,tcp,192.168.100.148,40289.0,192.168.100.3,80.0,2,308,REQ,1528095735.055646,143578,9.533169,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
35000051,1528095725.522478,e s,tcp,192.168.100.148,40292.0,192.168.100.3,80.0,2,308,REQ,1528095735.055646,143579,9.533168,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
35000052,1528095725.522479,e s,tcp,192.168.100.148,40293.0,192.168.100.3,80.0,2,308,REQ,1528095735.055647,143580,9.533168,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104897,0.104897,0.0,1,DDoS,TCP
35000053,1528095725.522479,e s,tcp,192.168.100.148,40298.0,192.168.100.3,80.0,2,308,REQ,1528095735.071873,143581,9.549394,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000054,1528095725.52248,e s,tcp,192.168.100.148,40299.0,192.168.100.3,80.0,2,308,REQ,1528095735.071875,143582,9.549395,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000055,1528095725.522481,e s,tcp,192.168.100.148,40302.0,192.168.100.3,80.0,2,308,REQ,1528095735.071877,143583,9.549396,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000056,1528095725.522482,e s,tcp,192.168.100.148,40303.0,192.168.100.3,80.0,2,308,REQ,1528095735.071878,143584,9.549396,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000057,1528095725.522484,e s,tcp,192.168.100.148,40304.0,192.168.100.3,80.0,2,308,REQ,1528095735.07188,143585,9.549396,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000058,1528095725.522485,e s,tcp,192.168.100.148,40305.0,192.168.100.3,80.0,2,308,REQ,1528095735.071881,143586,9.549396,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000059,1528095725.522486,e s,tcp,192.168.100.148,40308.0,192.168.100.3,80.0,2,308,REQ,1528095735.071883,143587,9.549397,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000060,1528095725.522487,e s,tcp,192.168.100.148,40309.0,192.168.100.3,80.0,2,308,REQ,1528095735.071884,143588,9.549397,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000061,1528095725.522488,e s,tcp,192.168.100.148,40314.0,192.168.100.3,80.0,2,308,REQ,1528095735.071886,143589,9.549398,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000062,1528095725.52249,e s,tcp,192.168.100.148,40315.0,192.168.100.3,80.0,2,308,REQ,1528095735.071888,143590,9.549398,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000063,1528095725.522491,e s,tcp,192.168.100.148,40318.0,192.168.100.3,80.0,2,308,REQ,1528095735.07189,143591,9.549399,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000064,1528095725.522492,e s,tcp,192.168.100.148,40319.0,192.168.100.3,80.0,2,308,REQ,1528095735.071891,143592,9.549399,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000065,1528095725.522494,e s,tcp,192.168.100.148,40320.0,192.168.100.3,80.0,2,308,REQ,1528095735.071893,143593,9.549399,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000066,1528095725.522495,e s,tcp,192.168.100.148,40321.0,192.168.100.3,80.0,2,308,REQ,1528095735.071894,143594,9.549399,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000067,1528095725.522497,e s,tcp,192.168.100.148,40324.0,192.168.100.3,80.0,2,308,REQ,1528095735.071896,143595,9.549399,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000068,1528095725.522498,e s,tcp,192.168.100.148,40325.0,192.168.100.3,80.0,2,308,REQ,1528095735.071898,143596,9.5494,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104719,0.104719,0.0,1,DDoS,TCP
35000069,1528095725.522512,e s,tcp,192.168.100.148,40327.0,192.168.100.3,80.0,2,308,REQ,1528095735.071803,143597,9.549291,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000070,1528095725.522513,e s,tcp,192.168.100.148,40328.0,192.168.100.3,80.0,2,308,REQ,1528095735.071805,143598,9.549292,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000071,1528095725.522514,e s,tcp,192.168.100.148,40329.0,192.168.100.3,80.0,2,308,REQ,1528095735.071807,143599,9.549293,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000072,1528095725.522515,e s,tcp,192.168.100.148,40332.0,192.168.100.3,80.0,2,308,REQ,1528095735.071808,143600,9.549293,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000073,1528095725.522516,e s,tcp,192.168.100.148,40333.0,192.168.100.3,80.0,2,308,REQ,1528095735.07181,143601,9.549294,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000074,1528095725.522517,e s,tcp,192.168.100.148,40338.0,192.168.100.3,80.0,2,308,REQ,1528095735.071811,143602,9.549294,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000075,1528095725.522518,e s,tcp,192.168.100.148,40339.0,192.168.100.3,80.0,2,308,REQ,1528095735.071813,143603,9.549295,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000076,1528095725.52252,e s,tcp,192.168.100.148,40342.0,192.168.100.3,80.0,2,308,REQ,1528095735.071815,143604,9.549295,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000077,1528095725.522521,e s,tcp,192.168.100.148,40343.0,192.168.100.3,80.0,2,308,REQ,1528095735.071816,143605,9.549295,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000078,1528095725.522522,e s,tcp,192.168.100.148,40344.0,192.168.100.3,80.0,2,308,REQ,1528095735.071818,143606,9.549296,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
4219440,1528081790.262734,e,udp,fe80::c0c0:aa20:45b9:bdd9,5353.0,ff02::fb,5353.0,1,180,INT,1528081790.262734,262164,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,180,0,0.0,0.0,0.0,0,Normal,Normal
4219441,1528081790.262798,e,udp,192.168.100.4,5353.0,224.0.0.251,5353.0,1,160,INT,1528081790.262798,262165,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,160,0,0.0,0.0,0.0,0,Normal,Normal
35000079,1528095725.522523,e s,tcp,192.168.100.148,40345.0,192.168.100.3,80.0,2,308,REQ,1528095735.071821,143607,9.549298,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000080,1528095725.522525,e s,tcp,192.168.100.148,40348.0,192.168.100.3,80.0,2,308,REQ,1528095735.071823,143608,9.549298,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000081,1528095725.522526,e s,tcp,192.168.100.148,40349.0,192.168.100.3,80.0,2,308,REQ,1528095735.071824,143609,9.549298,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000082,1528095725.522527,e s,tcp,192.168.100.148,40354.0,192.168.100.3,80.0,2,308,REQ,1528095735.071826,143610,9.549299,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000083,1528095725.522528,e s,tcp,192.168.100.148,40355.0,192.168.100.3,80.0,2,308,REQ,1528095735.071828,143611,9.5493,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000084,1528095725.52253,e s,tcp,192.168.100.148,40358.0,192.168.100.3,80.0,2,308,REQ,1528095735.071829,143612,9.549299,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000085,1528095725.522531,e s,tcp,192.168.100.148,40359.0,192.168.100.3,80.0,2,308,REQ,1528095735.071831,143613,9.5493,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000086,1528095725.522533,e s,tcp,192.168.100.148,40360.0,192.168.100.3,80.0,2,308,REQ,1528095735.071833,143614,9.5493,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000087,1528095725.522534,e s,tcp,192.168.100.148,40361.0,192.168.100.3,80.0,2,308,REQ,1528095735.071835,143615,9.549301,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000088,1528095725.522535,e s,tcp,192.168.100.148,40364.0,192.168.100.3,80.0,2,308,REQ,1528095735.071836,143616,9.549301,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000089,1528095725.522537,e s,tcp,192.168.100.148,40365.0,192.168.100.3,80.0,2,308,REQ,1528095735.071838,143617,9.549301,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
35000090,1528095725.522538,e s,tcp,192.168.100.148,40370.0,192.168.100.3,80.0,2,308,REQ,1528095735.071839,143618,9.549301,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.10472,0.10472,0.0,1,DDoS,TCP
